Table IV-2. Terrain Specifications – Existing Conditions
                              Top     Bottom   Vertical     Slope   Avg.    Slope      Avg.    Max
         Trail Area/Name     Elev.     Elev.    Rise       Length   Width   Area      Grade   Grade        Ability Level
                              (ft)     (ft)      (ft)       (ft)     (ft)   (acres)    (%)     (%)
Creekside                   9,686     8,110    1,576      9,760     163     36.4      16%     47%    Intermediate
Cascade                     9,609     8,861     748       3,523     127     10.3      22%     38%    Intermediate
West Fork                    9,350     8,550     800       5,625     90      11.6      14%     32%    Low Intermediate
Assay Hill                   8,514     8,324     190       1,499     194      6.7      13%     15%    Novice
Lone Star                    9,810     9,623     187       1,235     131      3.7      15%     29%    Low Intermediate
Bottoms Up                   9,639     9,364     275       1,017     178      4.2      28%     36%    Intermediate
Funnel Upper                 9,766     9,363     403       2,781     273     17.4      15%     37%    Intermediate
Funnel Lower                 9,363     8,460     903       6,359     326     47.6      15%     24%    Novice
Funnel Bypass                9,616     9,488     128       1,418     59       1.9      9%      15%    Novice
Funnel Bypass                9,370     9,320     51         537      51       0.6      9%      14%    Novice
No Name                      9,236     9,001     235       1,452     86       2.9      17%     25%    Novice
Eddy Out                     9,148     8,661     487       2,586     65       3.8      19%     41%    Intermediate
Slider                       9,847     8,974     873       5,238     179     21.6      17%     33%    Intermediate
Bull Run                     11,323    9,926    1,396      6,654     473     72.2      21%     35%    Low Intermediate
Grey Wolf                    11,310   10,155    1,155      4,904     304     34.2      24%     37%    Intermediate
Bear Bottom                  11,303    9,932    1,371      6,443     211     31.1      22%     38%    Intermediate
Gunner’s View                10,987   10,070     917       4,611     180     19.1      20%     34%    Low Intermediate
Sandy Park                   11,315    9,852    1,462      8,285     201     38.3      18%     44%    Intermediate
EC Meadows                   9,928     9,804     124       1,517     405     14.1      8%      14%    Beginner
Naked Lady                   10,438    8,996    1,442      7,155     310     50.9      21%     36%    Intermediate
Lodge Pole                   10,221    9,720     501       2,126     155      7.6      24%     38%    Intermediate
Log Deck                     10,471    9,741     729       3,405     182     14.2      22%     39%    Intermediate
