Base Area,"9,090","9,090",0,0.00,0.00,0%,2.29,2.29,0,0,0,0
Sorensen Park,"9,150","9,090",60,"1,065.74","1,067.43",6%,4.06,4.07,3,8,114,1
Turnpike,"9,460","9,090",370,"4,350.81","4,366.51",9%,5.13,5.15,5,15,87,2
Village Way - Practice Hill,"9,360","9,090",270,"1,639.42","1,661.50",16%,5.69,5.77,9,0,0,0
Upper Parkway,"9,710","9,615",95,506.35,515.18,19%,2.71,2.76,11,20,251,2
Porcupine,"9,565","9,390",175,"1,671.62","1,680.76",10%,8.42,8.47,6,14,367,2
Bobcat,"9,490","9,400",90,818.02,822.96,11%,1.52,1.53,6,9,137,2
Moose Wallow,"9,495","9,460",35,709.75,710.61,5%,0.18,0.18,3,7,20,2
Marmot Flats,"9,560","9,405",155,"1,606.23","1,613.69",10%,7.83,7.87,6,8,190,1
Bill Wilson's Way,"9,560","9,450",110,"1,058.58","1,064.28",10%,6.28,6.31,6,11,332,1
Ski Papa,"9,495","9,455",40,444.59,446.39,9%,0.22,0.22,5,8,86,1
Larry Sale,"9,650","9,090",560,"2,127.21","2,199.69",26%,8.26,8.54,15,35,161,3
Ambush,"9,550","9,260",290,"1,014.51","1,055.14",29%,2.71,2.82,16,50,131,6
Lower Hughes,"9,720","9,090",630,"2,227.61","2,314.98",28%,14.64,15.21,16,34,180,3
Norwegian,"9,625","9,400",225,442.32,496.26,51%,1.99,2.23,27,50,205,5
Brian's Run,"9,625","9,300",325,620.28,700.27,52%,0.95,1.07,28,75,70,7
Meadows,"10,130","9,625",505,"1,376.46","1,466.17",37%,7.89,8.40,20,50,205,5
Upper Hughes,"10,650","10,130",520,"1,916.28","1,985.58",27%,8.32,8.62,15,50,205,5
Litter Pierre,"10,140","9,650",490,"1,164.26","1,263.17",42%,5.46,5.92,23,50,240,5
Mulligan's Mile,"10,250","9,740",510,"1,216.26","1,318.86",42%,4.53,4.91,23,51,182,5
Balch,"10,500","9,670",830,"2,191.48","2,343.39",38%,11.68,12.49,21,50,284,5
Bradley's Bash,"10,690","9,670",1020,"2,689.64","2,876.55",38%,17.01,18.19,21,48,296,5
Retta's Run,"10,660","9,820",840,"2,256.43","2,407.71",37%,12.47,13.31,20,51,215,6
Outrigger,"10,600","9,900",700,"1,913.37","2,037.40",37%,6.83,7.27,20,51,177,6
Catwalks,"10,680","10,575",105,742.72,750.11,14%,2.01,2.03,8,0,0,0
Mountain Top,"10,680","10,680",0,0.00,0.00,0%,1.72,1.72,0,0,0,0
Quick Getaway,"10,690","10,500",190,958.62,977.27,20%,2.31,2.35,11,32,76,3
Upper Cranmer,"10,660","10,550",110,492.44,504.58,22%,2.02,2.07,13,32,273,3
Cranmer,"10,540","9,940",600,"2,435.73","2,508.54",25%,17.42,17.94,14,32,273,3
Lower Cranmer,"9,940","9,460",480,"2,633.98","2,677.36",18%,19.65,19.97,10,32,273,3
Apollo Flats,"9,670","9,515",155,"1,407.74","1,416.25",11%,6.18,6.22,6,0,0,0
Allen Phipps,"10,050","9,470",580,"3,164.73","3,217.44",18%,12.02,12.22,10,38,154,3
March Hare,"10,680","10,140",540,"2,797.04","2,848.69",19%,10.82,11.02,11,26,168,2
March Hare East,"10,120","10,010",110,389.02,404.27,28%,0.92,0.96,16,29,119,3
Dormouse,"10,800","10,490",310,"2,385.50","2,405.56",13%,5.78,5.83,7,14,82,3
Upper White Rabbit,"10,800","10,600",200,"1,892.05","1,902.59",11%,4.49,4.52,6,16,124,2
White Rabbit,"10,560","10,160",400,"1,763.62","1,808.41",23%,9.22,9.45,13,38,149,3
Lower White Rabbit,"10,160","9,720",440,"2,944.14","2,976.84",15%,9.62,9.73,8,26,165,2
Bummer Flats,"10,610","10,445",165,"2,293.90","2,299.83",7%,3.24,3.25,4,0,0,0
Upper Jabberwocky,"10,670","10,570",100,818.91,824.99,12%,1.96,1.97,7,33,151,3
Jabberwocky,"10,545","10,200",345,"1,711.62","1,746.04",20%,6.03,6.15,11,34,81,3
Lower Jabberwocky,"10,190","9,910",280,"1,026.16","1,063.67",27%,4.77,4.94,15,33,151,3
Upper Cheshire Cat,"10,450","10,225",225,"1,088.53","1,111.54",21%,2.34,2.39,12,39,151,4
Lower Cheshire Cat,"10,225","9,830",395,"1,364.50","1,420.52",29%,5.23,5.44,16,39,151,4
Low Lonesome Whistle,"10,420","9,800",620,"4,338.30","4,382.38",14%,10.08,10.18,8,24,96,3
Mad Tea Party,"10,050","9,890",160,"1,100.10","1,111.67",15%,3.22,3.25,8,19,146,2
Vista Dome,"10,150","10,050",100,555.24,564.17,18%,3.43,3.49,10,25,211,2
Vista Dome Cutoff,"10,080","9,940",140,390.64,414.97,36%,2.06,2.19,20,30,229,2
Vista Dome Catwalk,"10,140","10,100",40,378.70,380.81,11%,0.46,0.46,6,0,0,0
Prospector Top,"10,150","10,150",0,0.00,0.00,0%,0.67,0.67,0,0,0,0
Tweedle Dum,"10,145","9,760",385,"1,399.38","1,451.37",28%,4.62,4.79,15,36,139,3
