Trail Name,Bottom Elev (ft),Top Elev (ft),Vertical Drop (ft),Slope Length (ft),Difficulty,Resort,Average Steepness,Groomed,Base,Lifts,Top,Vertical Rise (ft),Black,Blue,Double Black,Green,Terrain Park,Price,Total Runs
Meadow,6916.0,7070.0,154.0,1056.0,Green,Alpine Meadows,0.14583333333333334,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Subway,6857.0,6965.0,108.0,1056.0,Green,Alpine Meadows,0.10227272727272728,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Alpine Bowl,7762.0,8497.0,735.0,2428.8,Blue,Alpine Meadows,0.3026185770750988,Groomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Banana Chute,7175.0,7451.0,279.0,739.2,Blue,Alpine Meadows,0.3774350649350649,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Bobby's Run,7582.0,7927.0,341.0,1108.8,Blue,Alpine Meadows,0.30753968253968256,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Boomerang,7224.0,7605.0,381.0,1214.4,Blue,Alpine Meadows,0.3137351778656126,Groomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Charity,7221.0,7638.0,417.0,1478.4,Blue,Alpine Meadows,0.2820616883116883,Groomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Dance Floor,7073.0,7438.0,364.0,1320.0,Blue,Alpine Meadows,0.27575757575757576,Groomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
East Creek,7083.0,7546.0,463.0,2164.8,Blue,Alpine Meadows,0.21387657058388768,Groomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
East Runout,6923.0,7201.0,276.0,1795.2,Blue,Alpine Meadows,0.1537433155080214,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Fall Line,7290.0,7628.0,338.0,1003.2,Blue,Alpine Meadows,0.3369218500797448,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Kangaroo Main Run,6932.0,7224.0,292.0,1214.4,Blue,Alpine Meadows,0.24044795783926215,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Kangaroo Ridge,6978.0,7280.0,302.0,1531.1999999999996,Blue,Alpine Meadows,0.1972309299895507,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Ladies Slalom,7067.0,7457.0,387.0,1267.2,Blue,Alpine Meadows,0.30539772727272724,Groomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Lakeview to Weasel,7444.0,7782.0,338.0,1953.6,Blue,Alpine Meadows,0.17301392301392302,Groomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Leisure Lane,8022.0,8241.0,220.0,2006.4,Blue,Alpine Meadows,0.10964912280701754,Groomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Maid Marian,7375.0,7959.0,584.0,2059.2000000000007,Blue,Alpine Meadows,0.2836052836052836,Groomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Mountain View,7438.0,8235.0,797.0,2851.2000000000007,Blue,Alpine Meadows,0.2795314253647587,Groomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Nick's Run,6955.0,7372.0,417.0,1478.4,Blue,Alpine Meadows,0.2820616883116883,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Outer Limits,7434.0,8251.0,817.0,2745.6,Blue,Alpine Meadows,0.2975670163170163,Groomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Ray's Rut,7113.0,7434.0,322.0,3484.8,Blue,Alpine Meadows,0.09240128558310376,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Reily's Run,7438.0,7802.0,364.0,1161.6,Blue,Alpine Meadows,0.3133608815426997,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Return Road to Weasel,7536.0,7671.0,135.0,1478.4,Blue,Alpine Meadows,0.09131493506493506,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Robin Hood,7618.0,8009.0,394.0,1320.0,Blue,Alpine Meadows,0.2984848484848485,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Rock Garden,7441.0,7871.0,430.0,2323.2,Blue,Alpine Meadows,0.1850895316804408,Groomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Sandy's Corner,7028.0,7208.0,180.0,792.0,Blue,Alpine Meadows,0.2272727272727273,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Scott Meadow,7526.0,7740.0,213.0,897.6,Blue,Alpine Meadows,0.2372994652406417,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Scott Ridge,7585.0,7986.0,400.0,1214.4,Blue,Alpine Meadows,0.3293807641633728,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Scott Ridge Run,7415.0,8087.0,673.0,2270.4,Blue,Alpine Meadows,0.29642353770260743,Groomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Scotty's Beam,7612.0,8228.0,617.0,1742.4,Blue,Alpine Meadows,0.35410927456381996,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Sherwood Run,7116.0,8015.0,899.0,4329.5999999999985,Blue,Alpine Meadows,0.20764042867701407,Groomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Shooting Star,7441.0,7867.0,430.0,1425.6,Blue,Alpine Meadows,0.3016273849607183,Groomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Skateboard Alley,7083.0,7421.0,341.0,1478.4,Blue,Alpine Meadows,0.2306547619047619,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Standard Run,7644.0,7887.0,243.0,633.6,Blue,Alpine Meadows,0.3835227272727272,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Summer Road,7818.0,8031.0,213.0,1584.0,Blue,Alpine Meadows,0.13446969696969696,Groomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Sun Spot,7884.0,8465.0,584.0,1636.8,Blue,Alpine Meadows,0.3567937438905181,Groomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Tiegel,6906.0,7060.0,154.0,1636.8,Blue,Alpine Meadows,0.09408602150537634,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
To Lakeview Chair,7434.0,7549.0,115.0,1900.8,Blue,Alpine Meadows,0.06050084175084175,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Twilight Zone,7582.0,8087.0,502.0,1372.8,Blue,Alpine Meadows,0.3656759906759907,Groomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
