Trail Name,Bottom Elev (ft),Top Elev (ft),Vertical Drop (ft),Slope Length (ft),Difficulty,Resort,Average Steepness,Groomed,Base,Lifts,Top,Vertical Rise (ft),Percent Blacks,Percent Blues,Percent Double Blacks,Percent Greens,Percent Terrain Parks,Price,Total Runs,Location
Meadow,6916,7070,154,1056,Green,Alpine Meadows,0.15,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Subway,6857,6965,108,1056,Green,Alpine Meadows,0.1,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Alpine Bowl,7762,8497,735,2428,Blue,Alpine Meadows,0.3,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Banana Chute,7175,7451,279,739,Blue,Alpine Meadows,0.38,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Bobby's Run,7582,7927,341,1108,Blue,Alpine Meadows,0.31,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Boomerang,7224,7605,381,1214,Blue,Alpine Meadows,0.31,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Charity,7221,7638,417,1478,Blue,Alpine Meadows,0.28,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Dance Floor,7073,7438,364,1320,Blue,Alpine Meadows,0.28,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
East Creek,7083,7546,463,2164,Blue,Alpine Meadows,0.21,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
East Runout,6923,7201,276,1795,Blue,Alpine Meadows,0.15,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Fall Line,7290,7628,338,1003,Blue,Alpine Meadows,0.34,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Kangaroo Main Run,6932,7224,292,1214,Blue,Alpine Meadows,0.24,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Kangaroo Ridge,6978,7280,302,1531,Blue,Alpine Meadows,0.2,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Ladies Slalom,7067,7457,387,1267,Blue,Alpine Meadows,0.31,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Lakeview to Weasel,7444,7782,338,1953,Blue,Alpine Meadows,0.17,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Leisure Lane,8022,8241,220,2006,Blue,Alpine Meadows,0.11,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Maid Marian,7375,7959,584,2059,Blue,Alpine Meadows,0.28,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Mountain View,7438,8235,797,2851,Blue,Alpine Meadows,0.28,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Nick's Run,6955,7372,417,1478,Blue,Alpine Meadows,0.28,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Outer Limits,7434,8251,817,2745,Blue,Alpine Meadows,0.3,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Ray's Rut,7113,7434,322,3484,Blue,Alpine Meadows,0.09,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Reily's Run,7438,7802,364,1161,Blue,Alpine Meadows,0.31,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Return Road to Weasel,7536,7671,135,1478,Blue,Alpine Meadows,0.09,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Robin Hood,7618,8009,394,1320,Blue,Alpine Meadows,0.3,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Rock Garden,7441,7871,430,2323,Blue,Alpine Meadows,0.19,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Sandy's Corner,7028,7208,180,792,Blue,Alpine Meadows,0.23,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Scott Meadow,7526,7740,213,897,Blue,Alpine Meadows,0.24,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Scott Ridge,7585,7986,400,1214,Blue,Alpine Meadows,0.33,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Scott Ridge Run,7415,8087,673,2270,Blue,Alpine Meadows,0.3,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Scotty's Beam,7612,8228,617,1742,Blue,Alpine Meadows,0.35,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Sherwood Run,7116,8015,899,4329,Blue,Alpine Meadows,0.21,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Shooting Star,7441,7867,430,1425,Blue,Alpine Meadows,0.3,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Skateboard Alley,7083,7421,341,1478,Blue,Alpine Meadows,0.23,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Standard Run,7644,7887,243,633,Blue,Alpine Meadows,0.38,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Summer Road,7818,8031,213,1584,Blue,Alpine Meadows,0.13,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Sun Spot,7884,8465,584,1636,Blue,Alpine Meadows,0.36,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Tiegel,6906,7060,154,1636,Blue,Alpine Meadows,0.09,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
To Lakeview Chair,7434,7549,115,1900,Blue,Alpine Meadows,0.06,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Twilight Zone,7582,8087,502,1372,Blue,Alpine Meadows,0.37,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Upper Weasel One,7385,7871,486,2428,Blue,Alpine Meadows,0.2,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Weasel Run,7060,7526,466,2270,Blue,Alpine Meadows,0.21,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Werner's Schuss,7215,7887,673,1900,Blue,Alpine Meadows,0.35,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
West Runout,6932,7024,89,844,Blue,Alpine Meadows,0.11,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Winter Road,7943,8127,184,1425,Blue,Alpine Meadows,0.13,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Wolverine,7749,8468,722,3115,Blue,Alpine Meadows,0.23,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Yellow Trail,7070,7635,564,1953,Blue,Alpine Meadows,0.29,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Beaver Bowl,7887,8271,384,792,Black,Alpine Meadows,0.48,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Bernie's Bowl,7375,7874,502,1003,Black,Alpine Meadows,0.5,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Big Bend Bowl,8117,8320,203,351,Black,Alpine Meadows,0.58,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Big Bend Keyhole,8140,8268,128,310,Black,Alpine Meadows,0.41,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
CB Chute,8061,8366,302,633,Black,Alpine Meadows,0.48,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Chute That Seldom Slides,7106,7799,696,1267,Black,Alpine Meadows,0.55,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
CK Bench,7543,7717,174,440,Black,Alpine Meadows,0.4,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Counterweight Gully,7615,7910,295,400,Black,Alpine Meadows,0.74,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
D-6,8166,8392,226,488,Black,Alpine Meadows,0.46,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
D-7,8091,8333,243,495,Black,Alpine Meadows,0.49,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
D-8,8009,8274,266,514,Black,Alpine Meadows,0.52,Groomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Estelle Bowl,7923,8176,253,338,Black,Alpine Meadows,0.75,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Expert Shortcut,7680,7835,154,346,Black,Alpine Meadows,0.45,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Face Cliffs,7421,7808,387,792,Black,Alpine Meadows,0.49,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Gentian Gully,7808,8077,269,1478,Black,Alpine Meadows,0.18,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Grouse Saddle,8189,8333,148,200,Black,Alpine Meadows,0.74,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Hidden Knolls,7569,7930,361,792,Black,Alpine Meadows,0.46,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
High Traverse to Sherwood,8491,8537,49,792,Black,Alpine Meadows,0.06,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
High Yellow Face,7989,8261,269,686,Black,Alpine Meadows,0.39,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
High Yellow Gully,7559,7854,295,686,Black,Alpine Meadows,0.43,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Hot Wheels Gully,7169,7444,276,1320,Black,Alpine Meadows,0.21,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Idiot's Delight,8225,8373,148,202,Black,Alpine Meadows,0.73,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Keyhole,8071,8435,367,468,Black,Alpine Meadows,0.78,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Lower 40 Face,7434,7769,335,686,Black,Alpine Meadows,0.49,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Lower 40 Gully,7011,7277,266,580,Black,Alpine Meadows,0.46,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Lower Beaver Entrance,7956,8156,200,580,Black,Alpine Meadows,0.34,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Lower Saddle,8130,8317,187,407,Black,Alpine Meadows,0.46,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
North Peril,7907,8166,259,484,Black,Alpine Meadows,0.54,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Our Father,7894,8012,118,217,Black,Alpine Meadows,0.54,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Palisades,7949,8448,499,1267,Black,Alpine Meadows,0.39,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Peril Ridge,8120,8294,171,686,Black,Alpine Meadows,0.25,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Peter's Peril,7904,8150,246,528,Black,Alpine Meadows,0.47,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Poma Rocks,7421,7615,194,448,Black,Alpine Meadows,0.43,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Pond Slope,6932,7142,213,897,Black,Alpine Meadows,0.24,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Promised Land,7241,7720,479,739,Black,Alpine Meadows,0.65,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
S.P. Bowl,8031,8232,200,408,Black,Alpine Meadows,0.49,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Scott Chute,7067,8061,994,1900,Black,Alpine Meadows,0.52,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Sherwood Cliffs,7546,7913,367,633,Black,Alpine Meadows,0.58,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Sherwood Creek,7221,7480,262,528,Black,Alpine Meadows,0.5,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
Sherwood Face,7270,7733,463,1372,Black,Alpine Meadows,0.34,Ungroomed,6859,13,8482,1623,52,43,0,2,3,169,102,CA
