Base,Lifts,Top,Vertical rise,black,blue,double black,green,terrain park,resort_name,price
6859,13,8482,1623,53,44,0,2,3,Alpine Meadows,169
10789,9,12504,1715,53,37,79,7,2,Arapahoe Basin,109
8116,17,12542,4426,28,49,30,8,3,Aspen Snowmass,179
3762,2,4375,612,9,5,0,7,0,Bald Mountain,145
7417,16,11428,4011,38,51,10,44,1,Beaver Creek,209
9711,23,12326,2615,49,31,28,27,6,Copper,119
9132,15,11874,2742,36,43,54,27,4,Crested Butte,129
6732,6,8520,1788,14,14,0,2,1,Diamond Peak,104
9265,9,10599,1334,11,28,13,8,1,Eldora,140
6319,13,10419,4100,48,46,21,7,8,Jackson Hole,165
10642,11,12680,2039,22,44,15,17,1,Loveland,89
10796,5,11813,1017,25,16,7,13,3,Monarch,94
6898,18,10534,3636,76,56,8,22,5,Steamboat,199
9346,14,12444,3098,33,16,42,15,2,Taos,110
8735,16,12503,3768,30,40,57,16,3,Telluride,149
8052,29,11564,3512,104,59,7,29,2,Vail,209
9091,25,11988,2897,83,35,9,34,10,Winter Park,139
10262,10,11760,1497,40,36,36,8,0,Wolf Creek,76
