Trail Name,Bottom Elev (ft),Top Elev (ft),Vertical Drop (ft),Difficulty,Resort,Slope Length (ft),Average Steepness
Meadow,6916.0,7070.0,154.0,Green,Alpine Meadows,1056.0,0.14583333333333334
Subway,6857.0,6965.0,108.0,Green,Alpine Meadows,1056.0,0.10227272727272728
Alpine Bowl,7762.0,8497.0,735.0,Green,Alpine Meadows,2428.8,0.3026185770750988
Banana Chute,7175.0,7451.0,279.0,Green,Alpine Meadows,739.2,0.3774350649350649
Bobby's Run,7582.0,7927.0,341.0,Green,Alpine Meadows,1108.8,0.30753968253968256
Boomerang,7224.0,7605.0,381.0,Green,Alpine Meadows,1214.4,0.3137351778656126
Charity,7221.0,7638.0,417.0,Green,Alpine Meadows,1478.4,0.2820616883116883
Dance Floor,7073.0,7438.0,364.0,Green,Alpine Meadows,1320.0,0.27575757575757576
East Creek,7083.0,7546.0,463.0,Green,Alpine Meadows,2164.7999999999997,0.21387657058388768
East Runout,6923.0,7201.0,276.0,Green,Alpine Meadows,1795.2,0.1537433155080214
Fall Line,7290.0,7628.0,338.0,Green,Alpine Meadows,1003.2,0.3369218500797448
Kangaroo Main Run,6932.0,7224.0,292.0,Green,Alpine Meadows,1214.4,0.24044795783926218
Kangaroo Ridge,6978.0,7280.0,302.0,Green,Alpine Meadows,1531.1999999999998,0.1972309299895507
Ladies Slalom,7067.0,7457.0,387.0,Green,Alpine Meadows,1267.2,0.30539772727272724
Lakeview to Weasel,7444.0,7782.0,338.0,Green,Alpine Meadows,1953.6,0.17301392301392302
Leisure Lane,8022.0,8241.0,220.0,Green,Alpine Meadows,2006.4,0.10964912280701754
Maid Marian,7375.0,7959.0,584.0,Green,Alpine Meadows,2059.2000000000003,0.2836052836052836
Mountain View,7438.0,8235.0,797.0,Green,Alpine Meadows,2851.2000000000003,0.27953142536475867
Nick's Run,6955.0,7372.0,417.0,Green,Alpine Meadows,1478.4,0.2820616883116883
Outer Limits,7434.0,8251.0,817.0,Green,Alpine Meadows,2745.6,0.2975670163170163
Ray's Rut,7113.0,7434.0,322.0,Green,Alpine Meadows,3484.8,0.09240128558310376
Reily's Run,7438.0,7802.0,364.0,Green,Alpine Meadows,1161.6,0.31336088154269975
Return Road to Weasel,7536.0,7671.0,135.0,Green,Alpine Meadows,1478.4,0.09131493506493506
Robin Hood,7618.0,8009.0,394.0,Green,Alpine Meadows,1320.0,0.29848484848484846
Rock Garden,7441.0,7871.0,430.0,Green,Alpine Meadows,2323.2,0.1850895316804408
Sandy's Corner,7028.0,7208.0,180.0,Green,Alpine Meadows,792.0,0.22727272727272727
Scott Meadow,7526.0,7740.0,213.0,Green,Alpine Meadows,897.6,0.23729946524064172
Scott Ridge,7585.0,7986.0,400.0,Green,Alpine Meadows,1214.4,0.3293807641633728
Scott Ridge Run,7415.0,8087.0,673.0,Green,Alpine Meadows,2270.4,0.29642353770260743
Scotty's Beam,7612.0,8228.0,617.0,Green,Alpine Meadows,1742.4,0.35410927456382
Sherwood Run,7116.0,8015.0,899.0,Green,Alpine Meadows,4329.599999999999,0.20764042867701407
Shooting Star,7441.0,7867.0,430.0,Green,Alpine Meadows,1425.6000000000001,0.3016273849607183
Skateboard Alley,7083.0,7421.0,341.0,Green,Alpine Meadows,1478.4,0.2306547619047619
Standard Run,7644.0,7887.0,243.0,Green,Alpine Meadows,633.6,0.38352272727272724
Summer Road,7818.0,8031.0,213.0,Green,Alpine Meadows,1584.0,0.13446969696969696
Sun Spot,7884.0,8465.0,584.0,Green,Alpine Meadows,1636.8,0.3567937438905181
Tiegel,6906.0,7060.0,154.0,Green,Alpine Meadows,1636.8,0.09408602150537634
To Lakeview Chair,7434.0,7549.0,115.0,Green,Alpine Meadows,1900.8,0.06050084175084175
Twilight Zone,7582.0,8087.0,502.0,Green,Alpine Meadows,1372.8,0.3656759906759907
Upper Weasel One,7385.0,7871.0,486.0,Green,Alpine Meadows,2428.8,0.200098814229249
Weasel Run,7060.0,7526.0,466.0,Green,Alpine Meadows,2270.4,0.20525017618040872
Werner's Schuss,7215.0,7887.0,673.0,Green,Alpine Meadows,1900.8,0.3540614478114478
West Runout,6932.0,7024.0,89.0,Green,Alpine Meadows,844.8000000000001,0.10535037878787878
Winter Road,7943.0,8127.0,184.0,Green,Alpine Meadows,1425.6000000000001,0.12906846240179573
Wolverine,7749.0,8468.0,722.0,Green,Alpine Meadows,3115.2,0.23176682074987162
Yellow Trail,7070.0,7635.0,564.0,Green,Alpine Meadows,1953.6,0.2886977886977887
Beaver Bowl,7887.0,8271.0,384.0,Green,Alpine Meadows,792.0,0.48484848484848486
Bernie's Bowl,7375.0,7874.0,502.0,Green,Alpine Meadows,1003.2,0.5003987240829346
Big Bend Bowl,8117.0,8320.0,203.0,Green,Alpine Meadows,351.0,0.5783475783475783
Big Bend Keyhole,8140.0,8268.0,128.0,Green,Alpine Meadows,310.0,0.4129032258064516
CB Chute,8061.0,8366.0,302.0,Green,Alpine Meadows,633.6,0.47664141414141414
Chute That Seldom Slides,7106.0,7799.0,696.0,Green,Alpine Meadows,1267.2,0.5492424242424242
CK Bench,7543.0,7717.0,174.0,Green,Alpine Meadows,440.0,0.39545454545454545
Counterweight Gully,7615.0,7910.0,295.0,Green,Alpine Meadows,400.0,0.7375
D-6,8166.0,8392.0,226.0,Green,Alpine Meadows,488.0,0.46311475409836067
D-7,8091.0,8333.0,243.0,Green,Alpine Meadows,495.0,0.4909090909090909
D-8,8009.0,8274.0,266.0,Green,Alpine Meadows,514.0,0.5175097276264592
Estelle Bowl,7923.0,8176.0,253.0,Green,Alpine Meadows,338.0,0.7485207100591716
Expert Shortcut,7680.0,7835.0,154.0,Green,Alpine Meadows,346.0,0.44508670520231214
Face Cliffs,7421.0,7808.0,387.0,Green,Alpine Meadows,792.0,0.48863636363636365
Gentian Gully,7808.0,8077.0,269.0,Green,Alpine Meadows,1478.4,0.1819534632034632
Grouse Saddle,8189.0,8333.0,148.0,Green,Alpine Meadows,200.0,0.74
Hidden Knolls,7569.0,7930.0,361.0,Green,Alpine Meadows,792.0,0.45580808080808083
High Traverse to Sherwood,8491.0,8537.0,49.0,Green,Alpine Meadows,792.0,0.06186868686868687
High Yellow Face,7989.0,8261.0,269.0,Green,Alpine Meadows,686.4,0.3918997668997669
